Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
End-of-Life,Conventional,2015-2019,South America,1 m2 Aluminium Panel,Copper Scrap,1.067,Coal,82.33,Truck,534.5,Diesel,1.631,4.967,0.823,0.823,0.6,0.267,8.536,24.05,78.26,Incineration,27.46
Transport,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Ore,4.29,Coal,73.86,Ship,304.8,Electric,3.995,1.594,2.033,0.391,0.569,0.816,12.648,55.17,89.79,Reuse,44.13
Transport,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Copper Ore,4.981,Coal,46.61,Ship,646.9,Diesel,0.232,3.493,1.597,0.639,0.148,0.508,11.996,70.33,44.61,Landfill,86.47
End-of-Life,Conventional,2015-2019,North America,1 kg Copper Wire,Copper Ore,0.808,Electricity,13.02,Rail,235.6,Heavy Fuel Oil,0.509,3.78,1.815,3.021,0.765,0.547,10.902,45.03,69.55,Recycling,52.96
Raw Material Extraction,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,2.316,Natural Gas,62.16,Truck,961.9,Electric,4.041,2.235,3.038,1.957,0.52,0.734,16.839,6.12,16.47,Recycling,58.04
Transport,Emerging,2015-2019,North America,1 m2 Aluminium Panel,Copper Scrap,3.666,Natural Gas,66.42,Rail,257.0,Electric,3.272,2.31,1.225,4.423,0.53,0.862,8.65,63.29,81.7,Recycling,32.88
Transport,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Scrap,4.359,Natural Gas,35.8,Ship,210.0,Heavy Fuel Oil,3.701,1.674,4.767,4.022,0.231,0.987,7.592,55.79,7.35,Landfill,4.16
Use,Advanced,2010-2014,Asia,1 m2 Aluminium Panel,Copper Ore,1.83,Natural Gas,2.22,Truck,284.8,Diesel,2.611,3.454,1.257,2.037,0.383,0.328,8.078,48.81,19.85,Incineration,46.46
Transport,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Ore,1.672,Electricity,7.3,Ship,221.4,Heavy Fuel Oil,4.67,2.526,4.913,1.126,0.292,0.64,7.429,36.12,84.39,Reuse,2.92
Use,Conventional,2010-2014,North America,1 kg Copper Wire,Copper Scrap,3.498,Natural Gas,88.15,Ship,182.5,Electric,2.017,4.046,2.675,1.789,0.626,0.325,12.713,14.5,22.54,Incineration,1.47
End-of-Life,Conventional,2010-2014,North America,1 kg Copper Wire,Aluminium Ore,1.33,Electricity,13.94,Ship,602.1,Diesel,4.722,1.077,0.647,2.676,0.181,0.542,10.337,1.94,96.43,Reuse,20.14
Raw Material Extraction,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,4.527,Coal,38.92,Truck,166.8,Electric,0.534,2.553,1.809,4.588,0.201,0.724,4.123,87.17,51.05,Incineration,83.12
End-of-Life,Advanced,2020-2025,South America,1 kg Copper Wire,Aluminium Scrap,2.469,Natural Gas,18.35,Truck,543.9,Diesel,1.363,0.923,4.519,2.757,0.8,0.776,0.521,88.59,77.34,Incineration,26.87
Raw Material Extraction,Emerging,2010-2014,North America,1 kg Copper Wire,Copper Ore,1.532,Natural Gas,6.63,Truck,101.6,Electric,0.973,0.017,1.579,4.611,0.555,0.581,5.118,22.51,36.73,Incineration,26.22
End-of-Life,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Ore,4.363,Coal,18.57,Truck,678.1,Heavy Fuel Oil,2.448,3.386,4.173,1.707,0.541,0.499,7.778,81.19,1.03,Incineration,31.01
Transport,Advanced,2010-2014,North America,1 kg Copper Wire,Copper Scrap,4.244,Coal,87.34,Truck,696.7,Heavy Fuel Oil,1.704,4.112,0.42,1.327,0.092,0.11,12.064,7.21,67.98,Landfill,34.88
Use,Emerging,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Ore,0.751,Coal,29.28,Rail,405.3,Electric,1.833,2.551,2.514,1.798,0.899,0.22,7.136,55.37,24.53,Reuse,15.02
Manufacturing,Emerging,2020-2025,Asia,1 kg Copper Wire,Aluminium Scrap,0.528,Coal,94.58,Rail,786.4,Diesel,4.444,0.201,0.367,2.76,0.023,0.271,19.466,35.75,97.94,Reuse,11.85
Use,Advanced,2015-2019,South America,1 kg Copper Wire,Copper Ore,2.233,Electricity,1.58,Ship,595.6,Diesel,1.709,2.52,3.974,2.756,0.665,0.472,15.084,60.25,86.58,Reuse,75.59
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Aluminium Ore,1.544,Coal,52.92,Rail,876.2,Diesel,4.294,2.386,1.569,1.053,0.194,0.144,19.993,66.26,31.46,Landfill,29.33
Manufacturing,Advanced,2020-2025,Europe,1 kg Copper Wire,Copper Ore,1.875,Coal,87.37,Ship,518.1,Electric,1.357,3.992,3.751,2.338,0.689,0.738,1.466,87.55,28.7,Incineration,98.11
End-of-Life,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Scrap,4.587,Electricity,2.91,Rail,624.7,Heavy Fuel Oil,4.826,2.825,3.078,4.655,0.573,0.244,9.476,35.0,16.71,Recycling,21.41
Manufacturing,Advanced,2020-2025,Europe,1 kg Aluminium Sheet,Aluminium Scrap,0.775,Coal,17.71,Rail,266.7,Heavy Fuel Oil,3.792,1.83,3.455,4.981,0.582,0.614,11.268,39.55,18.57,Landfill,97.75
Use,Conventional,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Ore,2.651,Natural Gas,93.65,Rail,267.2,Electric,0.543,3.184,4.257,3.311,0.743,0.608,15.054,34.45,38.95,Incineration,78.03
Use,Advanced,2010-2014,North America,1 kg Copper Wire,Copper Ore,4.107,Electricity,9.18,Ship,26.8,Heavy Fuel Oil,3.333,0.422,0.857,0.986,0.509,0.201,4.027,1.06,76.65,Landfill,13.59
Raw Material Extraction,Emerging,2010-2014,Europe,1 kg Aluminium Sheet,Copper Scrap,3.059,Natural Gas,30.67,Rail,191.2,Diesel,1.734,1.287,2.166,3.451,0.051,0.183,2.065,96.78,57.39,Reuse,82.03
Manufacturing,Advanced,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Ore,1.7,Coal,89.64,Rail,632.7,Diesel,2.03,3.003,0.637,1.566,0.539,0.64,4.727,99.19,83.31,Incineration,58.0
End-of-Life,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Scrap,4.88,Electricity,51.75,Rail,947.7,Diesel,3.759,1.087,2.028,1.314,0.722,0.767,13.842,54.56,40.21,Landfill,98.43
Use,Conventional,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Ore,0.626,Electricity,13.26,Truck,602.8,Electric,3.779,4.788,2.452,1.329,0.863,0.441,3.017,52.21,52.55,Incineration,22.92
End-of-Life,Conventional,2010-2014,Asia,1 kg Copper Wire,Copper Scrap,1.139,Coal,15.11,Truck,825.1,Heavy Fuel Oil,2.505,3.682,4.812,3.96,0.157,0.42,10.173,70.13,96.49,Landfill,28.51
End-of-Life,Advanced,2015-2019,Asia,1 kg Copper Wire,Copper Scrap,4.375,Coal,8.14,Truck,873.3,Electric,3.473,0.143,3.054,4.657,0.433,0.117,19.778,41.67,52.78,Reuse,96.73
End-of-Life,Conventional,2015-2019,North America,1 kg Copper Wire,Copper Ore,3.132,Natural Gas,67.94,Ship,712.8,Heavy Fuel Oil,3.767,4.001,0.374,4.672,0.545,0.534,16.793,30.68,65.59,Reuse,31.7
Raw Material Extraction,Advanced,2010-2014,South America,1 kg Aluminium Sheet,Copper Scrap,3.924,Natural Gas,43.86,Rail,194.8,Electric,4.544,3.767,0.071,0.322,0.379,0.78,5.881,99.08,91.91,Reuse,86.46
End-of-Life,Conventional,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,0.541,Electricity,96.44,Truck,595.5,Diesel,2.957,0.493,3.047,2.643,0.541,0.191,11.091,7.23,2.14,Reuse,21.32
Use,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,4.108,Natural Gas,60.75,Ship,895.4,Heavy Fuel Oil,1.945,1.749,3.5,2.035,0.381,0.466,2.737,20.28,60.33,Landfill,60.85
Manufacturing,Advanced,2020-2025,South America,1 kg Copper Wire,Aluminium Ore,3.156,Natural Gas,20.78,Rail,441.2,Diesel,4.605,4.305,2.787,4.504,0.675,0.412,15.64,30.2,85.47,Incineration,32.95
Transport,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,4.076,Natural Gas,28.85,Ship,917.7,Diesel,0.924,3.595,2.043,0.092,0.332,0.203,11.327,25.99,7.26,Landfill,95.31
Manufacturing,Advanced,2010-2014,Europe,1 kg Copper Wire,Copper Ore,4.303,Electricity,5.49,Rail,278.7,Heavy Fuel Oil,3.152,1.607,1.409,2.979,0.194,0.649,2.241,32.5,11.56,Reuse,29.66
Transport,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Aluminium Ore,3.573,Natural Gas,76.63,Truck,153.6,Diesel,3.731,0.421,1.083,2.502,0.971,0.974,9.828,80.5,55.34,Recycling,75.17
End-of-Life,Emerging,2015-2019,North America,1 kg Copper Wire,Copper Scrap,3.439,Coal,70.02,Truck,445.2,Diesel,4.166,2.228,3.529,4.351,0.656,0.51,10.802,70.88,9.22,Reuse,63.66
Use,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,2.187,Coal,14.39,Rail,913.4,Electric,2.488,2.285,2.712,3.113,0.195,0.625,7.373,71.47,77.19,Landfill,0.75
Use,Emerging,2010-2014,Asia,1 kg Copper Wire,Aluminium Ore,3.724,Coal,35.9,Ship,310.7,Electric,1.864,2.878,0.573,3.491,0.445,0.16,10.433,57.41,34.63,Recycling,89.96
End-of-Life,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Copper Scrap,3.638,Coal,66.47,Rail,62.8,Electric,2.508,4.254,3.342,1.164,0.861,0.37,18.343,51.23,78.66,Landfill,61.2
Manufacturing,Emerging,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,1.811,Natural Gas,65.73,Truck,19.5,Heavy Fuel Oil,4.176,4.829,1.035,4.418,0.168,0.491,6.206,19.18,75.57,Recycling,80.66
End-of-Life,Emerging,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Scrap,4.274,Coal,1.84,Truck,849.4,Electric,0.257,2.242,0.876,4.534,0.577,0.468,9.161,40.44,47.39,Reuse,56.56
Transport,Advanced,2015-2019,North America,1 kg Copper Wire,Aluminium Scrap,4.177,Natural Gas,24.53,Rail,806.3,Diesel,4.152,4.256,4.708,4.783,0.108,0.878,16.987,37.74,69.14,Landfill,92.67
Manufacturing,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Scrap,0.911,Natural Gas,36.1,Rail,974.3,Heavy Fuel Oil,2.741,0.459,4.805,4.514,0.806,0.794,9.976,87.52,30.57,Reuse,35.86
End-of-Life,Emerging,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Ore,1.472,Natural Gas,40.91,Rail,241.3,Heavy Fuel Oil,1.699,3.452,2.151,3.838,0.479,0.139,14.971,6.59,94.24,Incineration,84.1
Use,Advanced,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,4.834,Coal,25.62,Rail,486.4,Electric,0.965,2.112,1.218,4.264,0.122,0.225,5.65,73.82,63.04,Landfill,13.63
Manufacturing,Advanced,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Scrap,3.225,Electricity,84.8,Rail,457.7,Heavy Fuel Oil,3.059,2.66,1.789,0.013,0.186,0.947,7.416,29.71,61.39,Landfill,90.38
End-of-Life,Emerging,2010-2014,Europe,1 kg Aluminium Sheet,Copper Ore,1.861,Coal,23.09,Ship,902.9,Diesel,3.868,3.513,2.786,2.128,0.638,0.217,16.438,41.64,75.47,Incineration,81.17
End-of-Life,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,0.839,Coal,67.87,Ship,309.7,Heavy Fuel Oil,1.794,3.667,4.787,4.018,0.292,0.708,6.891,43.96,12.31,Reuse,83.43
Manufacturing,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,3.411,Natural Gas,86.43,Truck,231.3,Diesel,0.647,4.077,4.395,0.86,0.642,0.165,0.784,54.23,95.03,Landfill,59.05
Raw Material Extraction,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,2.431,Natural Gas,28.92,Ship,288.7,Diesel,1.315,1.046,0.333,3.785,0.315,0.156,12.282,93.44,68.85,Landfill,19.18
Manufacturing,Conventional,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Ore,2.364,Electricity,82.69,Truck,60.1,Electric,1.683,1.939,2.263,2.793,0.494,0.163,8.63,36.9,92.93,Recycling,74.28
Manufacturing,Emerging,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,4.397,Electricity,71.25,Ship,66.3,Electric,2.37,3.89,2.957,3.793,0.962,0.247,19.676,12.05,92.0,Incineration,19.32
Raw Material Extraction,Emerging,2010-2014,South America,1 kg Copper Wire,Copper Ore,3.737,Coal,78.55,Truck,813.0,Electric,2.189,0.847,3.98,3.222,0.258,0.393,6.304,91.48,80.37,Incineration,88.25
Transport,Advanced,2020-2025,South America,1 m2 Aluminium Panel,Copper Ore,0.732,Electricity,66.44,Truck,274.9,Diesel,3.741,4.455,3.83,4.554,0.399,0.624,9.76,83.01,56.31,Landfill,70.99
Manufacturing,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Ore,3.339,Coal,86.35,Ship,533.0,Diesel,0.544,4.744,2.78,3.914,0.679,0.432,19.05,73.29,23.15,Recycling,99.58
End-of-Life,Advanced,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Scrap,4.999,Electricity,29.66,Rail,985.3,Diesel,3.087,0.926,4.891,0.51,0.637,0.837,16.671,0.62,42.52,Reuse,8.88
Transport,Conventional,2015-2019,North America,1 kg Aluminium Sheet,Aluminium Scrap,1.668,Electricity,93.86,Truck,885.6,Electric,3.296,4.492,1.581,4.141,0.685,0.734,2.172,34.9,4.87,Landfill,15.05
Manufacturing,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,1.722,Coal,58.98,Rail,762.3,Electric,0.542,0.273,4.418,0.652,0.448,0.113,10.933,10.63,76.23,Incineration,8.56
Raw Material Extraction,Conventional,2020-2025,Asia,1 kg Aluminium Sheet,Copper Ore,2.436,Electricity,42.64,Rail,921.6,Diesel,2.149,0.355,2.717,3.625,0.337,0.609,2.872,42.53,16.59,Recycling,27.37
Manufacturing,Emerging,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,3.385,Coal,75.61,Truck,318.4,Heavy Fuel Oil,4.949,1.424,0.751,4.337,0.65,0.68,15.989,99.95,28.41,Landfill,54.81
Use,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,3.669,Electricity,15.48,Rail,313.8,Heavy Fuel Oil,1.533,1.637,3.591,2.963,0.716,0.512,19.131,52.07,60.35,Recycling,29.83
Use,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Scrap,0.764,Electricity,81.73,Rail,857.9,Diesel,4.254,4.008,1.343,2.874,0.815,0.625,19.192,67.77,56.07,Recycling,99.54
Raw Material Extraction,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Scrap,2.905,Coal,96.73,Truck,22.0,Electric,2.75,1.445,1.978,0.44,0.264,0.57,14.566,91.03,23.18,Recycling,79.54
Transport,Emerging,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Scrap,0.61,Coal,89.49,Rail,598.8,Diesel,4.229,1.276,1.865,0.485,0.079,0.826,6.291,35.26,53.06,Reuse,67.07
End-of-Life,Emerging,2020-2025,South America,1 kg Copper Wire,Copper Ore,0.71,Electricity,57.85,Rail,614.0,Diesel,4.252,0.773,2.251,2.371,0.848,0.362,2.08,60.13,66.2,Recycling,58.24
Raw Material Extraction,Advanced,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Ore,2.704,Natural Gas,22.1,Rail,543.2,Heavy Fuel Oil,0.18,2.834,2.445,4.763,0.32,0.022,15.322,16.77,54.45,Recycling,21.48
Raw Material Extraction,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,2.927,Coal,58.52,Rail,665.1,Electric,1.865,0.306,2.985,4.323,0.525,0.25,8.563,54.02,8.77,Landfill,56.81
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Copper Wire,Copper Ore,0.992,Coal,18.61,Rail,399.1,Diesel,3.997,4.119,1.413,2.69,0.094,0.998,13.252,22.42,89.97,Recycling,34.98
End-of-Life,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,1.739,Electricity,30.45,Ship,491.2,Heavy Fuel Oil,0.167,3.257,4.739,4.078,0.811,0.774,7.457,19.04,31.44,Landfill,17.28
End-of-Life,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,4.329,Coal,42.68,Rail,813.8,Electric,1.452,0.719,4.353,3.995,0.556,0.123,7.059,5.75,89.82,Landfill,24.03
Raw Material Extraction,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,2.855,Natural Gas,94.24,Rail,626.9,Electric,3.115,4.164,3.467,2.429,0.122,0.497,4.048,49.19,2.19,Reuse,35.25
End-of-Life,Emerging,2020-2025,South America,1 kg Copper Wire,Aluminium Ore,0.749,Electricity,15.42,Ship,698.0,Electric,4.882,2.824,0.847,1.882,0.234,0.048,18.305,54.22,14.89,Incineration,74.57
Transport,Emerging,2020-2025,Europe,1 kg Aluminium Sheet,Aluminium Ore,1.271,Natural Gas,21.45,Rail,605.5,Heavy Fuel Oil,2.132,4.474,2.984,0.912,0.475,0.727,12.202,32.12,38.64,Landfill,66.56
Transport,Conventional,2020-2025,Asia,1 kg Copper Wire,Copper Scrap,2.835,Electricity,8.3,Ship,553.2,Electric,2.274,4.075,0.562,0.005,0.821,0.211,1.115,22.1,88.6,Landfill,17.12
Raw Material Extraction,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Copper Scrap,1.94,Coal,61.45,Ship,187.7,Diesel,3.226,3.533,1.155,0.481,0.402,0.699,16.363,3.67,53.66,Landfill,25.74
Raw Material Extraction,Emerging,2010-2014,Asia,1 m2 Aluminium Panel,Copper Ore,2.372,Coal,53.35,Rail,737.9,Heavy Fuel Oil,0.199,0.852,3.082,2.204,0.21,0.065,18.338,36.29,41.06,Incineration,4.91
Raw Material Extraction,Advanced,2020-2025,Asia,1 kg Copper Wire,Aluminium Ore,3.824,Natural Gas,99.23,Ship,978.5,Electric,1.556,4.806,2.038,1.936,0.832,0.792,9.76,44.74,96.84,Incineration,40.85
Transport,Emerging,2020-2025,Europe,1 kg Copper Wire,Copper Scrap,4.378,Coal,74.9,Rail,115.9,Diesel,0.795,0.187,0.176,3.022,0.077,0.136,5.265,55.33,22.89,Landfill,39.59
Transport,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Ore,2.09,Natural Gas,40.23,Truck,929.7,Heavy Fuel Oil,4.848,0.362,0.553,0.273,0.388,0.851,16.097,35.48,75.07,Incineration,97.9
End-of-Life,Emerging,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,1.373,Natural Gas,96.42,Ship,773.1,Diesel,0.573,3.973,0.511,0.149,0.765,0.895,8.308,2.41,59.76,Incineration,23.33
Use,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Ore,2.947,Natural Gas,32.47,Truck,626.2,Electric,1.302,0.742,3.762,2.694,0.317,0.628,6.101,36.53,37.58,Recycling,22.65
Manufacturing,Advanced,2010-2014,Europe,1 kg Copper Wire,Copper Ore,2.484,Electricity,81.71,Ship,971.3,Heavy Fuel Oil,1.097,4.694,1.389,2.35,0.101,0.608,10.461,67.89,60.04,Landfill,98.14
Manufacturing,Emerging,2015-2019,Asia,1 kg Aluminium Sheet,Copper Ore,3.966,Natural Gas,96.58,Rail,530.3,Heavy Fuel Oil,1.407,2.66,2.334,2.136,0.401,0.811,14.952,64.39,64.5,Landfill,37.39
Manufacturing,Conventional,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Scrap,2.472,Coal,16.1,Truck,583.2,Diesel,0.701,4.577,2.078,0.213,0.002,0.676,12.425,77.03,74.94,Incineration,0.31
Use,Advanced,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,1.252,Natural Gas,33.26,Truck,70.9,Heavy Fuel Oil,0.891,2.907,2.285,4.303,0.224,0.535,17.303,6.04,87.01,Incineration,34.4
Use,Advanced,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,4.368,Coal,68.5,Ship,676.1,Electric,0.24,4.706,2.156,0.542,0.767,0.867,18.625,50.64,40.38,Landfill,58.34
End-of-Life,Advanced,2020-2025,North America,1 kg Copper Wire,Aluminium Scrap,1.836,Coal,39.89,Rail,543.6,Electric,4.122,4.267,0.656,0.67,0.184,0.596,4.455,61.26,72.54,Landfill,85.85
Raw Material Extraction,Emerging,2015-2019,North America,1 kg Copper Wire,Aluminium Scrap,4.403,Natural Gas,22.25,Rail,319.1,Diesel,0.908,3.402,3.434,0.02,0.165,0.335,4.54,55.13,4.04,Landfill,82.62
End-of-Life,Conventional,2020-2025,Europe,1 kg Copper Wire,Aluminium Scrap,2.598,Coal,59.79,Ship,584.0,Heavy Fuel Oil,2.253,2.837,0.38,1.923,0.71,0.366,5.454,56.51,47.66,Landfill,53.34
Manufacturing,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Scrap,4.813,Coal,15.85,Rail,620.3,Heavy Fuel Oil,0.153,3.236,0.986,4.035,0.27,0.401,10.557,61.0,29.91,Incineration,15.67
Manufacturing,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Copper Ore,3.358,Electricity,44.75,Ship,67.1,Electric,2.684,2.336,2.562,0.535,0.473,0.745,3.088,62.36,17.79,Incineration,30.91
Transport,Conventional,2010-2014,North America,1 kg Copper Wire,Copper Scrap,2.132,Coal,76.58,Ship,233.8,Diesel,1.318,4.35,3.717,2.531,0.316,0.792,11.471,33.04,31.48,Reuse,45.73
Manufacturing,Emerging,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Ore,4.769,Electricity,64.68,Rail,682.6,Heavy Fuel Oil,1.935,4.883,2.035,0.06,0.801,0.513,3.43,2.29,99.22,Landfill,64.74
Transport,Conventional,2020-2025,Europe,1 kg Aluminium Sheet,Aluminium Scrap,2.596,Natural Gas,34.06,Truck,81.5,Diesel,3.227,1.845,4.948,0.543,0.246,0.403,16.049,77.7,24.42,Recycling,36.13
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Copper Wire,Copper Scrap,0.766,Electricity,38.46,Rail,176.6,Heavy Fuel Oil,4.598,4.04,0.825,2.454,0.958,0.411,9.238,34.15,49.23,Landfill,59.66
Raw Material Extraction,Conventional,2010-2014,North America,1 m2 Aluminium Panel,Copper Ore,0.905,Electricity,10.16,Ship,771.3,Electric,4.914,2.456,4.307,4.345,0.37,0.329,14.727,91.05,85.36,Recycling,31.93
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,2.098,Coal,73.89,Rail,324.2,Heavy Fuel Oil,4.26,2.546,1.463,1.432,0.784,0.125,18.673,41.34,84.39,Incineration,79.23
Use,Emerging,2015-2019,Europe,1 kg Copper Wire,Copper Scrap,4.007,Coal,67.77,Ship,504.5,Diesel,1.95,2.904,2.635,1.755,0.493,0.365,13.33,83.5,78.69,Incineration,34.07
End-of-Life,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Copper Scrap,2.792,Electricity,2.05,Ship,871.6,Heavy Fuel Oil,1.227,2.205,0.763,3.391,0.545,0.365,10.936,16.87,77.56,Reuse,26.6
Transport,Emerging,2020-2025,South America,1 kg Aluminium Sheet,Copper Scrap,3.268,Natural Gas,90.04,Ship,48.2,Electric,1.938,0.675,4.543,1.8,0.213,0.676,11.092,81.69,75.31,Reuse,97.47
Transport,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,0.907,Electricity,8.95,Truck,908.3,Heavy Fuel Oil,4.779,2.033,2.279,1.843,0.778,0.771,4.798,38.39,21.24,Incineration,4.66
Transport,Emerging,2015-2019,Europe,1 kg Copper Wire,Aluminium Ore,0.753,Electricity,15.54,Truck,39.6,Heavy Fuel Oil,2.116,0.32,4.237,3.56,0.784,0.617,13.446,11.34,5.82,Reuse,98.92
Use,Emerging,2015-2019,Asia,1 m2 Aluminium Panel,Copper Ore,2.178,Natural Gas,6.08,Rail,168.0,Electric,4.371,1.029,2.335,3.337,0.966,0.014,10.008,99.6,12.17,Reuse,12.37
Manufacturing,Conventional,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,0.892,Coal,51.28,Truck,354.9,Electric,3.581,2.856,2.904,2.555,0.992,0.539,1.911,32.22,78.07,Incineration,62.85
Raw Material Extraction,Advanced,2015-2019,Asia,1 m2 Aluminium Panel,Copper Ore,3.578,Natural Gas,92.26,Rail,449.3,Heavy Fuel Oil,0.098,4.95,2.273,0.488,0.549,0.59,11.505,96.49,31.96,Reuse,3.45
Use,Emerging,2015-2019,Europe,1 kg Copper Wire,Copper Ore,4.639,Electricity,19.93,Rail,752.0,Diesel,1.02,4.145,4.532,0.527,0.147,0.925,15.529,3.89,18.22,Reuse,41.21
Raw Material Extraction,Conventional,2020-2025,South America,1 m2 Aluminium Panel,Copper Scrap,4.389,Natural Gas,15.95,Ship,726.9,Electric,0.419,2.336,3.645,0.324,0.204,0.792,3.689,66.75,64.22,Recycling,52.04
Transport,Conventional,2015-2019,North America,1 kg Aluminium Sheet,Copper Ore,1.408,Natural Gas,42.28,Rail,625.6,Electric,4.409,3.989,3.037,1.142,0.217,0.814,13.456,35.81,97.15,Recycling,88.98
Use,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Ore,3.522,Coal,37.55,Rail,315.7,Heavy Fuel Oil,4.697,2.217,4.0,4.699,0.492,0.653,2.182,65.26,21.51,Recycling,67.05
End-of-Life,Advanced,2015-2019,North America,1 m2 Aluminium Panel,Copper Scrap,0.955,Natural Gas,50.03,Truck,525.8,Electric,2.418,3.784,3.773,3.532,0.632,0.904,11.725,34.83,5.92,Incineration,53.58
Use,Advanced,2015-2019,South America,1 kg Aluminium Sheet,Copper Ore,1.525,Natural Gas,39.31,Truck,59.4,Electric,3.204,4.433,1.626,4.024,0.126,0.723,2.055,25.86,36.02,Landfill,15.68
Transport,Conventional,2010-2014,South America,1 kg Copper Wire,Copper Ore,1.33,Electricity,70.19,Ship,104.8,Diesel,4.67,3.842,1.784,3.144,0.719,0.594,12.556,91.6,88.11,Landfill,91.38
Raw Material Extraction,Advanced,2020-2025,South America,1 kg Copper Wire,Aluminium Scrap,4.483,Natural Gas,68.85,Ship,496.8,Heavy Fuel Oil,2.437,3.858,4.62,0.44,0.877,0.85,2.208,65.65,97.19,Landfill,85.17
End-of-Life,Conventional,2015-2019,Europe,1 kg Copper Wire,Copper Ore,0.783,Natural Gas,92.59,Rail,181.4,Heavy Fuel Oil,0.362,1.139,2.416,4.076,0.267,0.39,3.251,29.16,90.21,Landfill,68.08
Manufacturing,Advanced,2015-2019,South America,1 kg Copper Wire,Aluminium Ore,3.533,Natural Gas,25.73,Ship,154.8,Electric,4.437,4.718,0.268,2.651,0.44,0.738,6.385,62.06,8.26,Reuse,82.3
